"SEDE_NOMBRE_MAT","FACULTAD","PROGRAMA","NIVEL","n"
"Amazonia","Amazonia","Estudios Amazonicos","Doctorado",3
"Amazonia","Amazonia","Estudios Amazonicos","Especializacion",28
"Amazonia","Amazonia","Amazonia","Especializacion",2
"Amazonia","Amazonia","Estudios Amazonicos","Maestria",61
"Amazonia","Amazonia","Amazonia","Maestria",13
"Bogota","Artes","Arte Y Arquitectura","Doctorado",22
"Bogota","Artes","Fotografia","Especializacion",185
"Bogota","Artes","Diseño Y Desarrollo Del Producto","Especializacion",161
"Bogota","Artes","Pedagogia Del Diseño","Especializacion",127
"Bogota","Artes","Animacion","Especializacion",125
"Bogota","Artes","Artes","Especializacion",111
"Bogota","Artes","Educacion Artistica Integral","Especializacion",72
"Bogota","Artes","Instrumentos De Ordenamiento Urbano - Regional","Especializacion",19
"Bogota","Artes","Diseño Urbano","Especializacion",1
"Bogota","Artes","Escrituras Creativas","Maestria",450
"Bogota","Artes","Interdisciplinaria En Teatro Y Artes Vivas","Maestria",166
"Bogota","Artes","Musicoterapia","Maestria",128
"Bogota","Artes","Artes","Maestria",127
"Bogota","Artes","Construccion","Maestria",111
"Bogota","Artes","Diseño Urbano","Maestria",99
"Bogota","Artes","Arquitectura","Maestria",88
"Bogota","Artes","Artes Plasticas Y Visuales","Maestria",86
"Bogota","Artes","Educacion Artistica","Maestria",76
"Bogota","Artes","Museologia Y Gestion Del Patrimonio","Maestria",75
"Bogota","Artes","Urbanismo","Maestria",68
"Bogota","Artes","Historia Y Teoria Del Arte, La Arquitectura Y La Ciudad","Maestria",67
"Bogota","Artes","Ordenamiento Urbano-Regional","Maestria",54
"Bogota","Artes","Comunicacion Y Medios","Maestria",49
"Bogota","Artes","Direccion Sinfonica","Maestria",47
"Bogota","Artes","Habitat","Maestria",34
"Bogota","Artes","Conservacion Del Patrimonio Cultural Inmueble","Maestria",29
"Bogota","Artes","Diseño","Maestria",22
"Bogota","Artes","Pedagogia Del Piano","Maestria",21
"Bogota","Artes","Arquitectura De La Vivienda","Maestria",20
"Bogota","Artes","Musicologia","Maestria",17
"Bogota","Artes","Diseño Multimedia","Maestria",15
"Bogota","Artes","Interpretacion Y Pedagogia Instrumental","Maestria",6
"Bogota","Artes","Arquitectura","Pregrado",990
"Bogota","Artes","Diseño Industrial","Pregrado",690
"Bogota","Artes","Artes Plasticas","Pregrado",489
"Bogota","Artes","Diseño Grafico","Pregrado",459
"Bogota","Artes","Musica Instrumental","Pregrado",406
"Bogota","Artes","Artes","Pregrado",345
"Bogota","Artes","Cine Y Television","Pregrado",343
"Bogota","Artes","Musica","Pregrado",73
"Bogota","Artes","Diseño Y Desarrollo Del Producto","Pregrado",4
"Bogota","Artes","Fotografia","Pregrado",1
"Bogota","Ciencias","Quimica","Doctorado",103
"Bogota","Ciencias","Biologia","Doctorado",65
"Bogota","Ciencias","Fisica","Doctorado",50
"Bogota","Ciencias","Matematicas","Doctorado",42
"Bogota","Ciencias","Biotecnologia","Doctorado",32
"Bogota","Ciencias","Ciencias","Doctorado",28
"Bogota","Ciencias","Ciencias Farmaceuticas","Doctorado",27
"Bogota","Ciencias","Estadistica","Doctorado",16
"Bogota","Ciencias","Geociencias","Doctorado",12
"Bogota","Ciencias","Bioquimica","Doctorado",5
"Bogota","Ciencias","Estadistica","Especializacion",299
"Bogota","Ciencias","Ciencia Y Tecnologia De Alimentos","Especializacion",175
"Bogota","Ciencias","Ciencia Y Tecnologia Cosmetica","Especializacion",125
"Bogota","Ciencias","Ciencias","Especializacion",63
"Bogota","Ciencias","Metodos Estadisticos Basicos","Especializacion",26
"Bogota","Ciencias","Actuaria","Especializacion",16
"Bogota","Ciencias","Ciencias Fisica","Especializacion",3
"Bogota","Ciencias","Fisica","Especializacion",1
"Bogota","Ciencias","Enseñanza De Las Ciencias Exactas Y Naturales","Maestria",720
"Bogota","Ciencias","Biologia","Maestria",296
"Bogota","Ciencias","Quimica","Maestria",288
"Bogota","Ciencias","Fisica","Maestria",251
"Bogota","Ciencias","Ciencias","Maestria",198
"Bogota","Ciencias","Microbiologia","Maestria",174
"Bogota","Ciencias","Matematicas","Maestria",161
"Bogota","Ciencias","Bioquimica","Maestria",136
"Bogota","Ciencias","Estadistica","Maestria",130
"Bogota","Ciencias","Ciencias Farmaceuticas","Maestria",104
"Bogota","Ciencias","Ciencia Y Tecnologia De Alimentos","Maestria",88
"Bogota","Ciencias","Geofisica","Maestria",83
"Bogota","Ciencias","Farmacologia","Maestria",73
"Bogota","Ciencias","Geologia","Maestria",73
"Bogota","Ciencias","Fisica Medica","Maestria",69
"Bogota","Ciencias","Matematica Aplicada","Maestria",49
"Bogota","Ciencias","Meteorologia","Maestria",46
"Bogota","Ciencias","Astronomia","Maestria",43
"Bogota","Ciencias","Matematica","Maestria",42
"Bogota","Ciencias","Actuaria Y Finanzas","Maestria",38
"Bogota","Ciencias","Bioestadistica","Maestria",4
"Bogota","Ciencias","Farmacia","Pregrado",1062
"Bogota","Ciencias","Biologia","Pregrado",828
"Bogota","Ciencias","Geologia","Pregrado",608
"Bogota","Ciencias","Quimica","Pregrado",512
"Bogota","Ciencias","Fisica","Pregrado",497
"Bogota","Ciencias","Estadistica","Pregrado",474
"Bogota","Ciencias","Matematicas","Pregrado",376
"Bogota","Ciencias","Ciencias","Pregrado",357
"Bogota","Ciencias Agrarias","Ciencias Agrarias","Doctorado",44
"Bogota","Ciencias Agrarias","Agroecologia","Doctorado",12
"Bogota","Ciencias Agrarias","Agronomia","Doctorado",6
"Bogota","Ciencias Agrarias","Cultivos Perennes Industriales","Especializacion",89
"Bogota","Ciencias Agrarias","Agronomia","Especializacion",25
"Bogota","Ciencias Agrarias","Ciencia Y Tecnologia De Alimentos","Especializacion",13
"Bogota","Ciencias Agrarias","Desarrollo Rural","Especializacion",7
"Bogota","Ciencias Agrarias","Horticultura","Especializacion",1
"Bogota","Ciencias Agrarias","Ciencias Agrarias","Maestria",228
"Bogota","Ciencias Agrarias","Geomatica","Maestria",33
"Bogota","Ciencias Agrarias","Agronomia","Maestria",28
"Bogota","Ciencias Agrarias","Ciencia Y Tecnologia De Alimentos","Maestria",23
"Bogota","Ciencias Agrarias","Geomantica","Maestria",21
"Bogota","Ciencias Agrarias","Gestion Y Desarrollo Rural","Maestria",2
"Bogota","Ciencias Agrarias","Ingenieria Agronomica","Pregrado",808
"Bogota","Ciencias Agrarias","Agronomia","Pregrado",80
"Bogota","Ciencias Economicas","Ciencias Economicas","Doctorado",35
"Bogota","Ciencias Economicas","Administracion","Maestria",454
"Bogota","Ciencias Economicas","Ciencias Economicas","Maestria",444
"Bogota","Ciencias Economicas","Medio Ambiente Y Desarrollo","Maestria",172
"Bogota","Ciencias Economicas","Estudios Politicos","Maestria",127
"Bogota","Ciencias Economicas","Contabilidad Y Finanzas","Maestria",34
"Bogota","Ciencias Economicas","Administracion - Convenio Universidad Tecnologica Del Choco","Maestria",1
"Bogota","Ciencias Economicas","Administracion De Empresas","Pregrado",1142
"Bogota","Ciencias Economicas","Economia","Pregrado",1107
"Bogota","Ciencias Economicas","Contaduria Publica","Pregrado",1039
"Bogota","Ciencias Economicas","Ciencias Economicas","Pregrado",516
"Bogota","Ciencias Humanas","Historia","Doctorado",42
"Bogota","Ciencias Humanas","Filosofia","Doctorado",41
"Bogota","Ciencias Humanas","Ciencias Humanas Y Sociales","Doctorado",17
"Bogota","Ciencias Humanas","Antropologia","Doctorado",10
"Bogota","Ciencias Humanas","Geografia","Doctorado",9
"Bogota","Ciencias Humanas","Ciencias Humanas","Doctorado",4
"Bogota","Ciencias Humanas","Psicologia","Doctorado",4
"Bogota","Ciencias Humanas","Accion Sin Daño Y Construccion De Paz","Especializacion",211
"Bogota","Ciencias Humanas","Analisis Espacial","Especializacion",108
"Bogota","Ciencias Humanas","Estudios Feministas Y De Genero","Especializacion",58
"Bogota","Ciencias Humanas","Estudios Feministas De Genero","Especializacion",41
"Bogota","Ciencias Humanas","Ciencias Humanas","Especializacion",9
"Bogota","Ciencias Humanas","Antropologia Forense","Especializacion",2
"Bogota","Ciencias Humanas","Filosofia Politica","Especializacion",2
"Bogota","Ciencias Humanas","Educacion","Maestria",291
"Bogota","Ciencias Humanas","Psicologia","Maestria",159
"Bogota","Ciencias Humanas","Filosofia","Maestria",118
"Bogota","Ciencias Humanas","Historia","Maestria",114
"Bogota","Ciencias Humanas","Estudios Literarios","Maestria",102
"Bogota","Ciencias Humanas","Sociologia","Maestria",98
"Bogota","Ciencias Humanas","Ciencias Humanas","Maestria",81
"Bogota","Ciencias Humanas","Antropologia","Maestria",74
"Bogota","Ciencias Humanas","Estudios Culturales","Maestria",73
"Bogota","Ciencias Humanas","Linguistica","Maestria",63
"Bogota","Ciencias Humanas","Estudios De Genero - Area Mujer Y Desarrollo","Maestria",60
"Bogota","Ciencias Humanas","Psicoanalisis, Subjetividad Y Cultura (De Freud A Lacan)","Maestria",50
"Bogota","Ciencias Humanas","Trabajo Social","Maestria",50
"Bogota","Ciencias Humanas","Geografia","Maestria",49
"Bogota","Ciencias Humanas","Estudios De Genero","Maestria",43
"Bogota","Ciencias Humanas","Estudios Sociales De La Ciencia","Maestria",31
"Bogota","Ciencias Humanas","Comunicacion Y Medios","Maestria",8
"Bogota","Ciencias Humanas","Linguistica Convenio Universidad Tecnologica Del Choco","Maestria",2
"Bogota","Ciencias Humanas","Psicologia","Pregrado",1134
"Bogota","Ciencias Humanas","Filologia E Idiomas","Pregrado",842
"Bogota","Ciencias Humanas","Antropologia","Pregrado",763
"Bogota","Ciencias Humanas","Ciencias Humanas","Pregrado",709
"Bogota","Ciencias Humanas","Sociologia","Pregrado",677
"Bogota","Ciencias Humanas","Trabajo Social","Pregrado",567
"Bogota","Ciencias Humanas","Filosofia","Pregrado",455
"Bogota","Ciencias Humanas","Estudios Literarios","Pregrado",352
"Bogota","Ciencias Humanas","Historia","Pregrado",331
"Bogota","Ciencias Humanas","Geografia","Pregrado",301
"Bogota","Ciencias Humanas","Linguistica","Pregrado",284
"Bogota","Ciencias Humanas","Español Y Filologia Clasica","Pregrado",207
"Bogota","Ciencias Humanas","Filologia E Idiomas Ingles","Pregrado",66
"Bogota","Ciencias Humanas","Filologia E Idiomas Frances","Pregrado",41
"Bogota","Ciencias Humanas","Filologia E Idiomas Aleman","Pregrado",26
"Bogota","Ciencias Humanas","Literatura (Estudios Literarios)","Pregrado",17
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho","Doctorado",24
"Bogota","Derecho, Ciencias Politicas Y Sociales","Estudios Politicos Y Relaciones Internacionales","Doctorado",18
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho Administrativo","Especializacion",1802
"Bogota","Derecho, Ciencias Politicas Y Sociales","Instituciones Juridico-Procesales","Especializacion",1076
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho Constitucional","Especializacion",994
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho Del Trabajo","Especializacion",595
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho, Ciencias Politicas Y Sociales","Especializacion",505
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho De Familia","Especializacion",434
"Bogota","Derecho, Ciencias Politicas Y Sociales","Instituciones Juridico-Penales","Especializacion",393
"Bogota","Derecho, Ciencias Politicas Y Sociales","Analisis De Politicas Publicas","Especializacion",326
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho Privado Economico","Especializacion",279
"Bogota","Derecho, Ciencias Politicas Y Sociales","Instituciones Juridicas De La Seguridad Social","Especializacion",232
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derechos Humanos Y Derecho Internacional Humanitario","Especializacion",231
"Bogota","Derecho, Ciencias Politicas Y Sociales","Mercados Y Politicas De Suelo En America Latina","Especializacion",215
"Bogota","Derecho, Ciencias Politicas Y Sociales","Justicia, Victimas Y Construccion De Paz","Especializacion",56
"Bogota","Derecho, Ciencias Politicas Y Sociales","Instituciones Juridico Penales - Universidad De Nariño","Especializacion",2
"Bogota","Derecho, Ciencias Politicas Y Sociales","Instituciones Juridico-Procesales -Universidad De Nariño","Especializacion",1
"Bogota","Derecho, Ciencias Politicas Y Sociales","Instituciones Juridico-Procesales Convenio Univ. Choco","Especializacion",1
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho","Maestria",509
"Bogota","Derecho, Ciencias Politicas Y Sociales","Politicas Publicas","Maestria",62
"Bogota","Derecho, Ciencias Politicas Y Sociales","Estudios Politicos Latinoamericanos","Maestria",30
"Bogota","Derecho, Ciencias Politicas Y Sociales","Biociencias Y Derecho","Maestria",24
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho, Ciencias Politicas Y Sociales","Maestria",23
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho","Pregrado",1162
"Bogota","Derecho, Ciencias Politicas Y Sociales","Ciencia Politica","Pregrado",1026
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho, Ciencias Politicas Y Sociales","Pregrado",262
"Bogota","Enfermeria","Enfermeria","Doctorado",40
"Bogota","Enfermeria","Enfermeria Cardiorrespiratoria","Especializacion",107
"Bogota","Enfermeria","Salud Ocupacional","Especializacion",99
"Bogota","Enfermeria","Salud Y Seguridad En El Trabajo","Especializacion",46
"Bogota","Enfermeria","Enfermeria Materna Perinatal Con Apoyo Familiar","Especializacion",39
"Bogota","Enfermeria","Enfermeria Materno Perinatal","Especializacion",16
"Bogota","Enfermeria","Enfermeria","Especializacion",14
"Bogota","Enfermeria","Enfermeria","Maestria",291
"Bogota","Enfermeria","Salud Y Seguridad En El Trabajo","Maestria",79
"Bogota","Enfermeria","Enfermeria","Pregrado",1270
"Bogota","Ingenieria","Ingenieria - Ingenieria Quimica","Doctorado",44
"Bogota","Ingenieria","Ingenieria - Ciencia Y Tecnologia De Materiales","Doctorado",35
"Bogota","Ingenieria","Ingenieria - Ingenieria Electrica","Doctorado",30
"Bogota","Ingenieria","Ingenieria - Sistemas Y Computacion","Doctorado",28
"Bogota","Ingenieria","Ingenieria - Industria Y Organizaciones","Doctorado",25
"Bogota","Ingenieria","Ingenieria - Ingenieria Mecanica Y Mecatronica","Doctorado",13
"Bogota","Ingenieria","Ingenieria Sistemas Y Computacion","Doctorado",11
"Bogota","Ingenieria","Ingenieria - Ingenieria Civil","Doctorado",4
"Bogota","Ingenieria","Ingenieria - Geotecnia","Doctorado",3
"Bogota","Ingenieria","Ingenieria","Doctorado",1
"Bogota","Ingenieria","Transito, Diseño Y Seguridad Vial","Especializacion",142
"Bogota","Ingenieria","Gobierno Electronico","Especializacion",113
"Bogota","Ingenieria","Iluminacion Publica Y Privada","Especializacion",111
"Bogota","Ingenieria","Estructuras","Especializacion",74
"Bogota","Ingenieria","Ingenieria","Especializacion",31
"Bogota","Ingenieria","Ingenieria Ambiental - Area Sanitaria","Especializacion",8
"Bogota","Ingenieria","Automatizacion Industrial","Especializacion",3
"Bogota","Ingenieria","Geotecnia","Especializacion",1
"Bogota","Ingenieria","Transportes","Especializacion",1
"Bogota","Ingenieria","Ingenieria - Ingenieria De Sistemas Y Computacion","Maestria",145
"Bogota","Ingenieria","Ingenieria - Ingenieria Quimica","Maestria",138
"Bogota","Ingenieria","Ingenieria - Automatizacion Industrial","Maestria",118
"Bogota","Ingenieria","Ingenieria - Ingenieria Electrica","Maestria",113
"Bogota","Ingenieria","Ingenieria - Geotecnia","Maestria",109
"Bogota","Ingenieria","Ingenieria - Recursos Hidraulicos","Maestria",91
"Bogota","Ingenieria","Ingenieria - Ingenieria Ambiental","Maestria",90
"Bogota","Ingenieria","Ingenieria Industrial","Maestria",90
"Bogota","Ingenieria","Ingenieria","Maestria",87
"Bogota","Ingenieria","Ingenieria - Telecomunicaciones","Maestria",82
"Bogota","Ingenieria","Ingenieria - Estructuras","Maestria",75
"Bogota","Ingenieria","Ingenieria - Ingenieria Industrial","Maestria",75
"Bogota","Ingenieria","Ingenieria Mecanica","Maestria",72
"Bogota","Ingenieria","Ingenieria - Transporte","Maestria",56
"Bogota","Ingenieria","Ingenieria - Materiales Y Procesos","Maestria",54
"Bogota","Ingenieria","Ingenieria - Ingenieria Agricola","Maestria",50
"Bogota","Ingenieria","Ingenieria - Ingenieria De Sistemas","Maestria",48
"Bogota","Ingenieria","Ingenieria - Ingenieria Mecanica","Maestria",43
"Bogota","Ingenieria","Materiales Y Procesos","Maestria",28
"Bogota","Ingenieria","Ingenieria - Ingenieria Electronica","Maestria",22
"Bogota","Ingenieria","Bioinformatica","Maestria",18
"Bogota","Ingenieria","Ingenieria - Sistemas Y Computacion","Maestria",9
"Bogota","Ingenieria","Ingenieria - Ingenieria De Sistemas Y Computacion - Conv Upc","Maestria",3
"Bogota","Ingenieria","Ingenieria Civil","Pregrado",1530
"Bogota","Ingenieria","Ingenieria Quimica","Pregrado",1461
"Bogota","Ingenieria","Ingenieria Mecanica","Pregrado",900
"Bogota","Ingenieria","Ingenieria De Sistemas Y Computacion","Pregrado",859
"Bogota","Ingenieria","Ingenieria Electronica","Pregrado",745
"Bogota","Ingenieria","Ingenieria Electrica","Pregrado",726
"Bogota","Ingenieria","Ingenieria","Pregrado",704
"Bogota","Ingenieria","Ingenieria Industrial","Pregrado",681
"Bogota","Ingenieria","Ingenieria Mecatronica","Pregrado",496
"Bogota","Ingenieria","Ingenieria Agricola","Pregrado",391
"Bogota","Ingenieria","Ingenieria De Sistemas","Pregrado",33
"Bogota","Medicina","Salud Publica","Doctorado",65
"Bogota","Medicina","Ciencias Biomedicas","Doctorado",17
"Bogota","Medicina","Medicina","Doctorado",8
"Bogota","Medicina","Medicina Interna","Especialidades Medicas",162
"Bogota","Medicina","Pediatria","Especialidades Medicas",149
"Bogota","Medicina","Medicina","Especialidades Medicas",99
"Bogota","Medicina","Obstetricia Y Ginecologia","Especialidades Medicas",94
"Bogota","Medicina","Cirugia General","Especialidades Medicas",57
"Bogota","Medicina","Medicina Fisica Y Rehabilitacion","Especialidades Medicas",53
"Bogota","Medicina","Psiquiatria","Especialidades Medicas",46
"Bogota","Medicina","Ortopedia Y Traumatologia","Especialidades Medicas",45
"Bogota","Medicina","Anestesiologia Y Reanimacion","Especialidades Medicas",39
"Bogota","Medicina","Radiologia E Imagenes Diagnosticas","Especialidades Medicas",35
"Bogota","Medicina","Dermatologia","Especialidades Medicas",31
"Bogota","Medicina","Geriatria","Especialidades Medicas",29
"Bogota","Medicina","Otorrinolaringologia","Especialidades Medicas",29
"Bogota","Medicina","Reumatologia","Especialidades Medicas",27
"Bogota","Medicina","Neurologia Clinica","Especialidades Medicas",26
"Bogota","Medicina","Neuropediatria","Especialidades Medicas",24
"Bogota","Medicina","Infectologia","Especialidades Medicas",22
"Bogota","Medicina","Medicina Forense","Especialidades Medicas",22
"Bogota","Medicina","Endocrinologia","Especialidades Medicas",21
"Bogota","Medicina","Hematologia","Especialidades Medicas",21
"Bogota","Medicina","Medicina Aeroespacial","Especialidades Medicas",21
"Bogota","Medicina","Perinatologia Y Neonatologia","Especialidades Medicas",21
"Bogota","Medicina","Gastroenterologia","Especialidades Medicas",20
"Bogota","Medicina","Oftalmologia","Especialidades Medicas",20
"Bogota","Medicina","Cirugia Plastica","Especialidades Medicas",19
"Bogota","Medicina","Patologia Anatomica Y Clinica","Especialidades Medicas",19
"Bogota","Medicina","Urologia","Especialidades Medicas",19
"Bogota","Medicina","Cirugia Pediatrica","Especialidades Medicas",18
"Bogota","Medicina","Cuidado Intensivo Pediatrico","Especialidades Medicas",18
