"dpto","coddepto","mpio","codmpio","codigo","LAT_CIU_NAC","LON_CIU_NAC","n"
"LA GUAJIRA","44","URIBIA","847","44-847","11.715202140100001","-72.265746284599999","3"
"LA GUAJIRA","44","MANAURE","560","44-560","11.7699944929","-72.441188298599997","2"
"LA GUAJIRA","44","MAICAO","430","44-430","11.3774000042","-72.243036152100004","30"
"LA GUAJIRA","44","RIOHACHA","001","44-001","11.5291254274","-72.912271254900006","56"
"LA GUAJIRA","44","DIBULLA","090","44-090",NA,NA,"0"
"MAGDALENA","47","SANTA MARTA","001","47-001","11.2257031416","-74.188397049599999","85"
"LA GUAJIRA","44","HATONUEVO","378","44-378","11.0672820787","-72.762501801499994","1"
"LA GUAJIRA","44","BARRANCAS","078","44-078","10.9531042648","-72.796187068899997","7"
"MAGDALENA","47","CIENAGA","189","47-189","11.007432811099999","-74.241368069000004","14"
"ATLANTICO","08","BARRANQUILLA","001","08-001","10.979649394699999","-74.818788094300004","464"
"MAGDALENA","47","SITIONUEVO","745","47-745",NA,NA,"0"
"ATLANTICO","08","PUERTO COLOMBIA","573","08-573","10.9855255232","-74.958761780800003","2"
"LA GUAJIRA","44","DISTRACCION","098","44-098",NA,NA,"0"
"LA GUAJIRA","44","FONSECA","279","44-279","10.8866438","-72.850471489599997","21"
"LA GUAJIRA","44","SAN JUAN DEL CESAR","650","44-650","10.7707349804","-73.001701387099999","28"
"MAGDALENA","47","PUEBLOVIEJO","570","47-570",NA,NA,"0"
"ATLANTICO","08","TUBARA","832","08-832","10.8739845528","-74.978611408800006","1"
"ATLANTICO","08","GALAPA","296","08-296","10.9042960533","-74.883135233399997","1"
"ATLANTICO","08","SOLEDAD","758","08-758","10.905632084100001","-74.792342186400006","11"
"ATLANTICO","08","MALAMBO","433","08-433","10.8125654841","-74.841115276400004","9"
"ATLANTICO","08","JUAN DE ACOSTA","372","08-372","10.829900784399999","-75.032145839199998","3"
"CESAR","20","VALLEDUPAR","001","20-001","10.4615184337","-73.258648343100006","296"
"MAGDALENA","47","ARACATACA","053","47-053","10.5906724298","-74.185859020400002","35"
"ATLANTICO","08","BARANOA","078","08-078","10.7899331958","-74.918107745399993","6"
"ATLANTICO","08","SABANAGRANDE","634","08-634","10.7907678504","-74.756848699599999","2"
"ATLANTICO","08","POLONUEVO","558","08-558",NA,NA,"0"
"ATLANTICO","08","PIOJO","549","08-549","10.740319853433901","-75.143935303466407","2"
"ATLANTICO","08","USIACURI","849","08-849",NA,NA,"0"
"BOLIVAR","13","SANTA CATALINA","673","13-673",NA,NA,"0"
"ATLANTICO","08","SANTO TOMAS","685","08-685","10.7580629353","-74.752439047500005","5"
"ATLANTICO","08","PALMAR DE VARELA","520","08-520","10.740602082000001","-74.753745930199997","2"
"MAGDALENA","47","EL RETEN","268","47-268",NA,NA,"0"
"MAGDALENA","47","REMOLINO","605","47-605","10.701847384400001","-74.716544936000005","1"
"ATLANTICO","08","SABANALARGA","638","08-638","10.633833411099999","-74.920625124400004","9"
"ATLANTICO","08","PONEDERA","560","08-560",NA,NA,"0"
"ATLANTICO","08","LURUACO","421","08-421","10.610862196299999","-75.142351644800002","3"
"BOLIVAR","13","CARTAGENA DE INDIAS","001","13-001","10.182784623","-75.511504465300007","318"
"BOLIVAR","13","CARTAGENA DE INDIAS","001","13-001","10.398816484399999","-75.501229215999999","37"
"CESAR","20","PUEBLO BELLO","570","20-570","10.4149687931","-73.587005944200001","6"
"MAGDALENA","47","PIVIJAY","551","47-551","10.461344009399999","-74.615395704700006","4"
"LA GUAJIRA","44","VILLANUEVA","874","44-874","10.444452630800001","-75.276221979200002","7"
"LA GUAJIRA","44","EL MOLINO","110","44-110","10651063157","-729216582848","2"
"MAGDALENA","47","FUNDACION","288","47-288","10.5138500419","-74.191181915900003","7"
"BOLIVAR","13","CLEMENCIA","222","13-222",NA,NA,"0"
"ATLANTICO","08","REPELON","606","08-606","104943070644","-751245913597","1"
"MAGDALENA","47","SALAMINA","675","47-675",NA,NA,"0"
"ATLANTICO","08","CANDELARIA","141","08-141","10.459177863300001","-74.879124833800006","2"
"LA GUAJIRA","44","URUMITA","855","44-855","10.5599833381","-73.013371687900005","3"
"ATLANTICO","08","MANATI","436","08-436",NA,NA,"0"
"BOLIVAR","13","SANTA ROSA","683","13-683","10.4454727189","-75.369102429799995","1"
"BOLIVAR","13","VILLANUEVA","873","13-873","10.444452630800001","-75.276221979200002","5"
"MAGDALENA","47","EL PIÑON","258","47-258","10.4010789014","-74.825111399400001","1"
"ATLANTICO","08","CAMPO DE LA CRUZ","137","08-137",NA,NA,"0"
"CESAR","20","LA PAZ","621","20-621","10.3864677933","-73.172691305200004","10"
"BOLIVAR","13","SAN ESTANISLAO","647","13-647","103982507972","-751500702017","1"
"CESAR","20","MANAURE","443","20-443",NA,NA,"0"
"BOLIVAR","13","SOPLAVIENTO","760","13-760",NA,NA,"0"
"BOLIVAR","13","SAN CRISTOBAL","620","13-620",NA,NA,"0"
"BOLIVAR","13","TURBACO","836","13-836","10.3357902885","-75.415546908899998","1"
"CESAR","20","EL COPEY","238","20-238","10.1491321093","-73.961370250800002","8"
"ATLANTICO","08","SANTA LUCIA","675","08-675",NA,NA,"0"
"MAGDALENA","47","CERRO SAN ANTONIO","161","47-161","10.326261587599999","-74.8687983704","2"
"BOLIVAR","13","CALAMAR","140","13-140","10.251024810600001","-74.913809567499996","3"
"CESAR","20","SAN DIEGO","750","20-750","10.3336927783","-73.180728795600004","3"
"ATLANTICO","08","SUAN","770","08-770",NA,NA,"0"
"BOLIVAR","13","ARJONA","052","13-052","10.2572499523","-75.345527596300002","5"
"BOLIVAR","13","MAHATES","433","13-433","102331675046","-751906885946","1"
"BOLIVAR","13","TURBANA","838","13-838","102707782012","-754443201111","1"
"MAGDALENA","47","PEDRAZA","541","47-541","10.1869655901","-74.916535340999999","2"
"MAGDALENA","47","CHIVOLO","170","47-170",NA,NA,"0"
"CESAR","20","AGUSTIN CODAZZI","013","20-013","10.0403645547","-73.237431448600006","28"
"BOLIVAR","13","EL GUAMO","248","13-248",NA,NA,"0"
"SUCRE","70","SAN ONOFRE","713","70-713","9.7333918764899998","-75.530327311999997","23"
"BOLIVAR","13","SAN JUAN NEPOMUCENO","657","13-657","9.9513812767700003","-75.083666304199994","12"
"BOLIVAR","13","MARIA LA BAJA","442","13-442","10.051981853199999","-75.268165475700002","5"
"CESAR","20","BOSCONIA","060","20-060","9.9743719942299993","-73.888041926","1"
"MAGDALENA","47","TENERIFE","798","47-798",NA,NA,"0"
"MAGDALENA","47","PLATO","555","47-555","9.7934026060800008","-74.7836448308","23"
"MAGDALENA","47","ARIGUAINI","058","47-058","9.8473724010700003","-74.236215559499996","1"
"CESAR","20","BECERRIL","045","20-045","9.7041336708100001","-73.278107336299996","3"
"BOLIVAR","13","SAN JACINTO","654","13-654","9.8306577525299996","-75.121744799300004","10"
"BOLIVAR","13","EL CARMEN DE BOLIVAR","244","13-244","9.7180342209900008","-75.121138832499994","23"
"CESAR","20","EL PASO","250","20-250",NA,NA,"0"
"BOLIVAR","13","ZAMBRANO","894","13-894","9.7514024508299997","-74.825881386099994","1"
"MAGDALENA","47","SANTA ANA","707","47-707","9.3228617806600003","-74.567418110000006","4"
"MAGDALENA","47","PIJIÑO DEL CARMEN","545","47-545",NA,NA,"0"
"SUCRE","70","OVEJAS","508","70-508","9.5259859640600002","-75.228807686799996","8"
"CESAR","20","LA JAGUA DE IBIRICO","400","20-400","9.56286705626","-73.335551810699997","2"
"SUCRE","70","CHALAN","230","70-230",NA,NA,"0"
"BOLIVAR","13","CORDOBA","212","13-212","0,853665965806","-7751806895","5"
"SUCRE","70","TOLUVIEJO","823","70-823","9.4531879946099995","-75.439555788199996","4"
"SUCRE","70","COLOSO","204","70-204","949094661829","-753557164394","1"
"CESAR","20","CHIRIGUANA","178","20-178","9.3613794200099996","-73.6009132147","6"
"CESAR","20","ASTREA","032","20-032","9.4953343531299996","-73.975390025400003","1"
"SUCRE","70","SAN PEDRO","717","70-717","3.9941572444900002","-76.229433837000002","4"
"CESAR","20","CHIMICHAGUA","175","20-175","9.2578810819499999","-73.813083302899997","24"
"SUCRE","70","LOS PALMITOS","418","70-418","9.3801770600999994","-75.268132589999993","10"
"SUCRE","70","MORROA","473","70-473","9.3289249426499996","-75.310398605200007","3"
"MAGDALENA","47","SAN SEBASTIAN DE BUENAVISTA","692","47-692","9.2409842482299993","-74.347474612100001","6"
"MAGDALENA","47","SAN ZENON","703","47-703","9.2440070738200006","-74.499733834400004","5"
"BOLIVAR","13","MAGANGUE","430","13-430","8.9926133575100007","-74.586727982900001","59"
"SUCRE","70","BUENAVISTA","110","70-110","5.51174852719","-73.940999029300002","2"
"CORDOBA","23","SAN ANTERO","672","23-672","9.3709325454000005","-75.762201966999996","2"
"CORDOBA","23","SAN BERNARDO DEL VIENTO","675","23-675","9.3538779934199994","-75.954044490499996","10"
"SUCRE","70","SINCELEJO","001","70-001","9.2524433346499997","-75.476706269800005","193"
"BOLIVAR","13","TALAIGUA NUEVO","780","13-780","9.3054028081200002","-74.567911851000005","3"
"SUCRE","70","SINCE","742","70-742","9.2444824429299999","-75.146672038099993","13"
"SUCRE","70","PALMITO","523","70-523",NA,NA,"0"
"SUCRE","70","SAN JUAN DE BETULIA","702","70-702","9.2745724339100004","-75.242996911099993","4"
"CESAR","20","CURUMANI","228","20-228","9.2003397841000005","-73.541364273799999","4"
"MAGDALENA","47","GUAMAL","318","47-318","3.8797436036900002","-73.770120376199998","10"
"SUCRE","70","COROZAL","215","70-215","9.3206841447900004","-75.292023407100004","49"
"MAGDALENA","47","EL BANCO","245","47-245","8.9983182735200007","-73.979391715000006","12"
"CORDOBA","23","MOÑITOS","500","23-500","9.2447099641400001","-76.134916122000007","2"
"CORDOBA","23","LORICA","417","23-417","9.1050102948599996","-75.806645409799998","41"
"CORDOBA","23","PURISIMA","586","23-586",NA,NA,"0"
"CORDOBA","23","MOMIL","464","23-464","9.2400215691300005","-75.676672983800003","1"
"BOLIVAR","13","MOMPOS","468","13-468","9.2410219737200006","-74.425799429600005","17"
"BOLIVAR","13","CICUCO","188","13-188",NA,NA,"0"
"NORTE DE SANTANDER","54","EL CARMEN","245","54-245","8.5107588243700008","-73.4467753988","7"
"CORDOBA","23","SAN ANDRES DE SOTAVENTO","670","23-670","9.0586451369300001","-75.571339112700002","6"
"CORDOBA","23","SAN ANDRES DE SOTAVENTO","670","23-670","9.1448862468299996","-75.508699462600006","1"
"NORTE DE SANTANDER","54","CONVENCION","206","54-206","8.4699950178600005","-73.337194928200006","7"
"BOLIVAR","13","SAN FERNANDO","650","13-650","9.2188713579599995","-74.334914826900004","1"
"SUCRE","70","SAMPUES","670","70-670","9.1824393290999993","-75.379179640999993","2"
"CORDOBA","23","CHIMA","168","23-168","9.14934447081","-75.627381814800003","3"
"BOLIVAR","13","MARGARITA","440","13-440","9.1591402362299998","-74.293740632999999","2"
"SUCRE","70","GALERAS","235","70-235","9.1598032804299994","-75.049336492799995","8"
"CORDOBA","23","COTORRA","300","23-300","9.04026968268","-75.785568070599993","6"
"CORDOBA","23","CHINU","182","23-182","9.1041527726599991","-75.401674924199995","19"
"NORTE DE SANTANDER","54","TEORAMA","800","54-800","843723373402","-732869854333","1"
"CORDOBA","23","PUERTO ESCONDIDO","574","23-574","9.0021912043200008","-76.261474718399995","1"
"NORTE DE SANTANDER","54","TIBU","810","54-810","8.6397177005099994","-72.735919371700007","9"
"SUCRE","70","SAN BENITO ABAD","678","70-678","8.9299244078199997","-75.031369033800004","6"
"CORDOBA","23","SAN PELAYO","686","23-686","8.9526152579700007","-75.8322173185","4"
"CESAR","20","TAMALAMEQUE","787","20-787",NA,NA,"0"
"BOLIVAR","13","PINILLOS","549","13-549",NA,NA,"0"
"CESAR","20","PAILITAS","517","20-517","893887217771","-735721450529","1"
"SUCRE","70","SUCRE","771","70-771","5.9190325784300004","-73.791490451599998","3"
"CORDOBA","23","CIENAGA DE ORO","189","23-189","8.8781765951799994","-75.622109338599998","11"
"BOLIVAR","13","HATILLO DE LOBA","300","13-300","894870933834","-742215352836","1"
"CORDOBA","23","SAHAGUN","660","23-660","8.9425025522400006","-75.436794027000005","57"
"BOLIVAR","13","EL PEÑON","268","13-268","5.2490834127500001","-74.290162590400001","1"
"BOLIVAR","13","SAN MARTIN DE LOBA","667","13-667","8.9371648134400008","-74.038254518100004","7"
"CORDOBA","23","LOS CORDOBAS","419","23-419","8.8951087807700002","-76.354709991999997","1"
"CORDOBA","23","CERETE","162","23-162","8.8866615532700006","-75.791881862599993","46"
"BOLIVAR","13","BARRANCO DE LOBA","074","13-074","8.8714088661399995","-74.118873698000002","2"
"CORDOBA","23","MONTERIA","001","23-001","8.4570969831999996","-76.125082070800005","355"
"SUCRE","70","CAIMITO","124","70-124","8.7890251027299993","-75.116089075800005","3"
"ANTIOQUIA","05","ARBOLETES","051","05-051","8.8500062659599994","-76.426680404799995","15"
"CESAR","20","PELAYA","550","20-550","8.6873247186500002","-73.661830632999994","2"
"SUCRE","70","LA UNION","400","70-400","1.5924771767300001","-77.128385668000007","5"
"CORDOBA","23","SAN CARLOS","678","23-678","6.1283182189099996","-74.835421823800004","8"
"CORDOBA","23","CANALETE","090","23-090","8.7876009174499998","-76.240753260399998","1"
"NORTE DE SANTANDER","54","EL TARRA","250","54-250",NA,NA,"0"
"BOLIVAR","13","ALTOS DEL ROSARIO","030","13-030",NA,NA,"0"
"BOLIVAR","13","REGIDOR","580","13-580",NA,NA,"0"
"ANTIOQUIA","05","SAN JUAN DE URABA","659","05-659","8.7594906053199999","-76.528889794099996","7"
"BOLIVAR","13","ACHI","006","13-006","8.5678524303699994","-74.555491767999996","119"
"CESAR","20","LA GLORIA","383","20-383","8.6180151291300007","-73.801111410399997","1"
"SUCRE","70","MAJAGUAL","429","70-429","8.5429896322599994","-74.627893371400006","4"
"SUCRE","70","SAN MARCOS","708","70-708","8.6640358468900001","-75.139022323199995","12"
"ANTIOQUIA","05","NECOCLI","490","05-490","8.4260252809900003","-76.787621253500006","2"
"BOLIVAR","13","RIO VIEJO","600","13-600",NA,NA,"0"
"CHOCO","27","ACANDI","006","27-006","8.5109498958999996","-77.2786180632","2"
"BOLIVAR","13","TIQUISIO","810","13-810","8.4924392090634999","-74.296633481905701","2"
"ANTIOQUIA","05","SAN PEDRO DE URABA","665","05-665","8.2780643073300002","-76.382562127900002","7"
"CORDOBA","23","PUEBLO NUEVO","570","23-570","8.4979236175300006","-75.416421840400005","164"
"NORTE DE SANTANDER","54","SAN CALIXTO","670","54-670",NA,NA,"0"
"CORDOBA","23","PLANETA RICA","555","23-555","8.3735415369999995","-75.546704197300002","51"
"SUCRE","70","GUARANDA","265","70-265",NA,NA,"0"
"CESAR","20","AGUACHICA","011","20-011","8.3101209692900007","-73.601300449500002","23"
"CORDOBA","23","AYAPEL","068","23-068","8.3111319614199992","-75.147011637899993","12"
"NORTE DE SANTANDER","54","HACARI","344","54-344","8.3216294059399996","-73.145908407600004","4"
"CESAR","20","GAMARRA","295","20-295","832160639331","-737425300764","1"
"BOLIVAR","13","MORALES","473","13-473",NA,NA,"0"
"BOLIVAR","13","MONTECRISTO","458","13-458","8.01924600103","-74.462610317900001","12"
"CESAR","20","GONZALEZ","310","20-310",NA,NA,"0"
"NORTE DE SANTANDER","54","SARDINATA","720","54-720","8.0805860364399997","-72.798260811899993","7"
"ANTIOQUIA","05","TURBO","837","05-837","8.0940967379999993","-76.726431831200003","23"
"CORDOBA","23","VALENCIA","855","23-855",NA,NA,"0"
"NORTE DE SANTANDER","54","CUCUTA","001","54-001","7.9052671165500001","-72.505590965899998","465"
"NORTE DE SANTANDER","54","OCAÑA","498","54-498","8.2466663649799994","-73.355195715799994","88"
"BOLIVAR","13","SAN JACINTO DEL CAUCA","655","13-655",NA,NA,"0"
"NORTE DE SANTANDER","54","PUERTO SANTANDER","553","54-553",NA,NA,"0"
"CHOCO","27","UNGUIA","800","27-800","8.0436327150300002","-77.093229483299993","4"
"CORDOBA","23","BUENAVISTA","079","23-079","5.51174852719","-73.940999029300002","1"
"CORDOBA","23","TIERRALTA","807","23-807","8.11258899129","-75.912913973900004","26"
"NORTE DE SANTANDER","54","LA PLAYA","398","54-398","8.2135938264000004","-73.238139088400004","4"
"CESAR","20","RIO DE ORO","614","20-614","8.2920539559699993","-73.387070526200006","8"
"BOLIVAR","13","ARENAL","042","13-042",NA,NA,"0"
"NORTE DE SANTANDER","54","EL ZULIA","261","54-261",NA,NA,"0"
"NORTE DE SANTANDER","54","ABREGO","003","54-003","8.0812041838099997","-73.221417432799996","10"
"ANTIOQUIA","05","NECHI","495","05-495","8.0887464336499999","-74.776339588799999","6"
"NORTE DE SANTANDER","54","BUCARASICA","109","54-109",NA,NA,"0"
"CORDOBA","23","MONTELIBANO","466","23-466","7.9857006146599998","-75.408849720899994","52"
"ANTIOQUIA","05","EL BAGRE","250","05-250","7.43809736535","-74.687528412700004","48"
"BOLIVAR","13","SIMITI","744","13-744",NA,NA,"0"
"CORDOBA","23","LA APARTADA","350","23-350",NA,NA,"0"
"SANTANDER","68","PUERTO WILCHES","575","68-575","7.3493740016900002","-73.898128607199993","8"
"BOLIVAR","13","SANTA ROSA DEL SUR","688","13-688","7.9631911032499998","-74.051446067900002","22"
"CESAR","20","SAN MARTIN","770","20-770","7.999580","-73.510987","1"
"NORTE DE SANTANDER","54","VILLA CARO","871","54-871",NA,NA,"0"
"ANTIOQUIA","05","APARTADO","045","05-045","7.8827166962200002","-76.626185972399995","72"
"ANTIOQUIA","05","CAUCASIA","154","05-154","7.9777603699400004","-75.198514343499994","66"
"CESAR","20","SAN ALBERTO","710","20-710","7.7093809827199999","-73.432771020900006","21"
"NORTE DE SANTANDER","54","LOURDES","418","54-418","7.9452358689100002","-72.832046913300005","2"
"NORTE DE SANTANDER","54","GRAMALOTE","313","54-313",NA,NA,"0"
"ANTIOQUIA","05","CACERES","120","05-120","7.5750651930300004","-75.352980171699997","488"
"CORDOBA","23","PUERTO LIBERTADOR","580","23-580","7.8892792139100001","-75.672022286900003","2"
"NORTE DE SANTANDER","54","SANTIAGO","680","54-680","1.1465700937000001","-77.002511406799997","1"
"NORTE DE SANTANDER","54","SAN CAYETANO","673","54-673",NA,NA,"0"
"CHOCO","27","RIOSUCIO","615","27-615","5.4239534746100002","-75.702318848900006","6"
"ANTIOQUIA","05","CAREPA","147","05-147","7.7542041946799998","-76.6531189552","7"
"NORTE DE SANTANDER","54","SALAZAR","660","54-660","7.7727182845999998","-72.808768623199995","3"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","874","54-874","7.84904659595","-72.470519245800006","6"
"NORTE DE SANTANDER","54","CACHIRA","128","54-128","7.73974335671","-73.049649211499997","3"
"NORTE DE SANTANDER","54","DURANIA","239","54-239","7.7142189978599998","-72.656198075399999","2"
"NORTE DE SANTANDER","54","LOS PATIOS","405","54-405","7.8334926728200003","-72.506036746899994","3"
"NORTE DE SANTANDER","54","LA ESPERANZA","385","54-385",NA,NA,"0"
"ANTIOQUIA","05","CHIGORODO","172","05-172","7.6661564494899999","-76.681564724599994","27"
"ANTIOQUIA","05","TARAZA","790","05-790","7.5816113529500004","-75.399710996500005","10"
"NORTE DE SANTANDER","54","BOCHALEMA","099","54-099","7.6120678096100001","-72.647281726900005","4"
"SANTANDER","68","RIONEGRO","615","68-615","6.1462200604100001","-75.376255755100004","4"
"NORTE DE SANTANDER","54","ARBOLEDAS","051","54-051","7.6426906647599999","-72.798834000799999","3"
"ANTIOQUIA","05","ZARAGOZA","895","05-895","7.4881496719999996","-74.867961740200002","11"
"SANTANDER","68","SABANA DE TORRES","655","68-655","7.3951715770100002","-73.498345776400001","1"
"NORTE DE SANTANDER","54","CHINACOTA","172","54-172","7.6025629692000001","-72.602450290600004","19"
"NORTE DE SANTANDER","54","RAGONVALIA","599","54-599","7.5774622776799996","-72.476019227199998","3"
"SANTANDER","68","SURATA","780","68-780","7.3671715554199997","-72.984277197500006","1"
"NORTE DE SANTANDER","54","CUCUTILLA","223","54-223","7.5391738761099996","-72.772446765200002","1"
"SANTANDER","68","EL PLAYON","255","68-255","7.4727183580099998","-73.204620351800003","2"
"NORTE DE SANTANDER","54","PAMPLONITA","520","54-520",NA,NA,"0"
"NORTE DE SANTANDER","54","HERRAN","347","54-347",NA,NA,"0"
"BOLIVAR","13","SAN PABLO","670","13-670","1.6691580391700001","-77.012728339700004","6"
"SANTANDER","68","CALIFORNIA","132","68-132",NA,NA,"0"
"CHOCO","27","JURADO","372","27-372","7.1060395952300004","-77.764617102599999","4"
"ANTIOQUIA","05","SEGOVIA","736","05-736","7.0810824770499998","-74.699062457899998","21"
"SANTANDER","68","VETAS","867","68-867","7.3093813606299998","-72.870741320899995","1"
"NORTE DE SANTANDER","54","TOLEDO","820","54-820","7.0162878518899996","-75.713584912399995","14"
"SANTANDER","68","MATANZA","444","68-444",NA,NA,"0"
"BOLIVAR","13","CANTAGALLO","160","13-160",NA,NA,"0"
"NORTE DE SANTANDER","54","PAMPLONA","518","54-518","7.3751941484500003","-72.648211059000005","96"
"ANTIOQUIA","05","ANORI","040","05-040","7.0780083333199997","-75.148399900200005","17"
"ANTIOQUIA","05","VALDIVIA","854","05-854","7.1631376806400002","-75.439711915299995","6"
"ANTIOQUIA","05","ITUANGO","361","05-361","7.1716230103600003","-75.764166560000007","31"
"SANTANDER","68","LEBRIJA","406","68-406","7.1133221939400002","-73.219673396800005","3"
"NORTE DE SANTANDER","54","LABATECA","377","54-377","7.2993912065100002","-72.494926832800004","3"
"NORTE DE SANTANDER","54","MUTISCUA","480","54-480","7.3002400822900002","-72.747080146499997","1"
"SANTANDER","68","CHARTA","169","68-169",NA,NA,"0"
"NORTE DE SANTANDER","54","CACOTA","125","54-125",NA,NA,"0"
"NORTE DE SANTANDER","54","SILOS","743","54-743",NA,NA,"0"
"ANTIOQUIA","05","AMALFI","031","05-031","6.9088742895699999","-75.073147583999997","28"
"ANTIOQUIA","05","YONDO","893","05-893","7.00260352994","-73.909890075199996","2"
"SANTANDER","68","GIRON","307","68-307","7.0717740124499997","-73.168312685299995","5"
"ANTIOQUIA","05","REMEDIOS","604","05-604","7.0287935872","-74.690462799599999","11"
"SANTANDER","68","TONA","820","68-820","7.1995257908000001","-72.968257265099993","1"
"ANTIOQUIA","05","YARUMAL","887","05-887","6.9655797000100002","-75.419598406199995","105"
"NORTE DE SANTANDER","54","CHITAGA","174","54-174","7.13853760731","-72.664809710499995","2"
"SANTANDER","68","BUCARAMANGA","001","68-001","7.1227872853400003","-73.132325230999996","718"
"SANTANDER","68","BARRANCABERMEJA","081","68-081","7.0615484225199996","-73.852494396099999","98"
"ANTIOQUIA","05","BRICEÑO","107","05-107","5.6901643120300003","-73.923303998700007","6"
"ANTIOQUIA","05","PEQUE","543","05-543","692583427774","-758293466882","8"
"ANTIOQUIA","05","DABEIBA","234","05-234","7.0000340263499998","-76.262974097200001","17"
"ANTIOQUIA","05","CAMPAMENTO","134","05-134","6.9789898202499998","-75.295333440600004","4"
"SANTANDER","68","SAN VICENTE DE CHUCURI","689","68-689","6.8798133401100001","-73.410018280800003","16"
"SANTANDER","68","FLORIDABLANCA","276","68-276","7.0773217204299996","-73.099121636999996","17"
"SANTANDER","68","BETULIA","092","68-092","6.1090998070799998","-75.984190747900001","1"
"SANTANDER","68","PIEDECUESTA","547","68-547","6.9954748417300001","-73.054308260599996","13"
"ANTIOQUIA","05","TOLEDO","819","05-819","7.0162878518899996","-75.713584912399995","2"
"ARAUCA","81","ARAUCA","001","81-001","7.0777365019699996","-70.762773048","233"
"SANTANDER","68","SANTA BARBARA","705","68-705",NA,NA,"0"
"ANTIOQUIA","05","SABANALARGA","628","05-628","10.633833411099999","-74.920625124400004","7"
"ARAUCA","81","SARAVENA","736","81-736","6.95387794066","-71.873949477799997","48"
"ARAUCA","81","ARAUQUITA","065","81-065","7.02931365346","-71.4276395909","25"
"SANTANDER","68","GUACA","318","68-318","6.8768722814599998","-72.856084429500001","2"
"ANTIOQUIA","05","URAMITA","842","05-842","6.8935930229400002","-76.170410535599999","2"
"BOYACA","15","CUBARA","223","15-223","7.0037332728599999","-72.106029804499997","3"
"ANTIOQUIA","05","MURINDO","475","05-475","6.9769671666899997","-76.819986521199993","3"
"ANTIOQUIA","05","SAN ANDRES DE CUERQUIA","647","05-647","6.9236096390800004","-75.672773119699997","7"
"ANTIOQUIA","05","CAÑASGORDAS","138","05-138","6.75976724617","-76.0302047407","12"
"SANTANDER","68","CERRITO","162","68-162","6.8431176162499998","-72.694727692100003","1"
"SANTANDER","68","ZAPATOCA","895","68-895","6.8138440669099998","-73.270855505900002","2"
"ANTIOQUIA","05","BURITICA","113","05-113","6.7198842194199999","-75.906264110199999","4"
"ANTIOQUIA","05","VEGACHI","858","05-858","6.7671621993100004","-74.793251760700002","5"
